,PostID,post_text,extracted_date,month,year,Butterfly_Genus,Butterfly_Species,Butterfly_Common_Name,Location,lat,lon
0,9293253854030905,painted jezebel delias hyparete chittagong bangladesh,december 2024,12,2024.0,delias,hyparete,Painted Jezebel,Chittagong,22.4875,91.96333
1,9305674512788839,redspot jezebel delias descombesi coxs bazar 26 january,2025,2,2025.0,delias,descombesi,Red-Spot Jezebel,Coxs Bazar,21.44795,92.10732
2,9304821392874151,black paintbrush swift baoris unicolor  rangamati,january 2025,1,2025.0,baoris,unicolor,Paintbrush Swift,Rangamati,25.12721,88.77155
3,9299221866767437,caterpillar of a lime blue butterfly chilades lajus  chittagong,january 2025,1,2025.0,chilades,lajus,Lime Blue,Chittagong,22.4875,91.96333
4,9294485850574372,fluffy tit  chittagong,january 2025,1,2025.0,zeltus,amasa,Fluffy Tit,Chittagong,22.4875,91.96333
5,9295486070474350,common tit  chattagram,january 2025,1,2025.0,hypolycaena,erylus,Common Tit,Chittagong,22.4875,91.96333
6,9289757484380542,clipper  chattogram,january2025,1,2025.0,parthenos,sylvia,Clipper,Chittagong,22.4875,91.96333
7,9284685088221115,id 24 redspot jezebel delias descombesi chottogram 1 feb,2025,2,2025.0,delias,descombesi,Red-Spot Jezebel,Chittagong,22.4875,91.96333
8,9274126152610342,id 23 painted jezebel delias hyparete chattogram 29 dec,2025,2,2025.0,delias,hyparete,Painted Jezebel,Chittagong,22.4875,91.96333
9,9248844401805184,common pierrot  rangamati,december 2021,12,2021.0,castalius,rosimon,Common Pierrot,Rangamati,25.12721,88.77155
10,9242827539073537,id updated english name blue tiger scientific name tirumala limniace safari park gazipur,january 2025,1,2025.0,tirumala,limniace,Blue Tiger,Gazipur,24.27416,88.9543
11,9216087818414176,common pierrot hajarikhil chattagram,december 2024,12,2024.0,castalius,rosimon,Common Pierrot,Chittagong,22.4875,91.96333
12,9177039908985634,yellow pansy junonia hierta chattogram,january 2025,1,2025.0,junonia,hierta,Yellow Pansy,Chittagong,22.4875,91.96333
13,9182172678472357,id updated english name common fivering scientific name ypthima baldus lawachara national park kamalganj moulvibazar,november 2024,11,2024.0,ypthima,baldus,Common Fivering,Kamalganj,24.34,91.84
14,9177879255568366,english name common lascar scientific name pantoporia hordonia lawachara national park kamalganj moulvibazar,november 2024,11,2024.0,pantoporia,hordonia,Common Lascar,Kamalganj,24.34,91.84
15,9141775659178726,bamboo treebrown lethe europa kushtia 03 january,2025,2,2025.0,lethe,europa,Bamboo Treebrown,Kustia,23.2208,89.01826
16,9119929101363382,tailed jay dhaka,nov 2017,11,2017.0,graphium,agamemnon,Tailed Jay,Dhaka,23.7104,90.40744
17,9119353531420939,id delias eucharis the common jezebel jahangirnagar university,december 2024,12,2024.0,delias,eucharis,Common Jezebel,Jahangirpur,24.33652,90.43798
18,9102848219738137,name the grey pansy location laksam cumilla date 26 december  device realme 9pro 5g,2024,Unknown,2024.0,junonia,atlites,Grey Pansy,Laksam,23.23238,91.1608
19,9084423544913938,id 21 common pierrot castalius rosimon noakhali 5 dec,2024,Unknown,2024.0,castalius,rosimon,Common Pierrot,Noakhali,22.81763,91.08945
20,9078994785456814,redbase jezebel 24 december  akhaura brahmanbaria,2024,Unknown,2024.0,delias,pasithoe,Red-Base Jezebel,Akhaura,23.87243,91.20768
21,1221566417866396,some of my collection id 1 indian palm bob 2 dark plam dart 3 common red eye 4 borbo species 5 panarama species 6 either panarama pelopidas or borbo species 7 grass demono 8 either parnara bada or parnara apostata 9 indian palm bob 10 chestnutbob jessore bangladesh september and october,2016,Unknown,2016.0,borbo,bada,Indian Dart,Jessore,23.16971,89.21371
22,9067469953275964,chocolate royal moulvibazar,november 2024,11,2024.0,remelana,jangala,Chocolate Royal,Maulavi Bazar,24.48888,91.77075
23,9037771062912520,common palmfly elymnias hypermnestra noakhali,december 2024,12,2024.0,elymnias,hypermnestra,Common Palmfly,Noakhali,22.81763,91.08945
24,9033543410001952,id 20 common mormon female papilio polytes romulus chattogram 14 nov,2024,Unknown,2024.0,papilio,polytes,Common Mormon,Chittagong,22.4875,91.96333
25,9026746930681600,gram blue chapainawabganj,december 2024,12,2024.0,euchrysops,cnejus,Gram Blue,Chapai Nawabganj,24.59895,88.28339
26,9026701987352761,id 19 chocolate albatross appias lyncida chattogram 12 nov,2024,Unknown,2024.0,appias,lyncida,Chocolate Albatross,Chittagong,22.4875,91.96333
27,9020595384630088,id 18 tawny coster acraea terpsicore chattogram 14 dec,2024,Unknown,2024.0,acraea,terpsicore,Tawny Coster,Chittagong,22.4875,91.96333
28,9009990569023903,blackspotted pierrot  habigonj,december 2024,12,2024.0,tarucus,balkanica,Black-Spotted Pierrot,Habiganj,24.38044,91.41299
29,9009841715705455,id 16 common snow flat tagiades japetus chattogram 5 dec,2024,Unknown,2024.0,tagiades,japetus,Common Snow Flat,Chittagong,22.4875,91.96333
30,9004961456193481,id 15 psyche leptosia nina chattogram 5 dec,2024,Unknown,2024.0,leptosia,nina,Psyche,Chittagong,22.4875,91.96333
31,8998902146799412,rustic coxbazar,april 2024,4,2024.0,phalanta,phalantha,Rustic,Coxs Bazar,21.44795,92.10732
32,8982732921749668,id 13 lime blue chilades lajus noakhali 5 dec,2024,Unknown,2024.0,chilades,lajus,Lime Blue,Noakhali,22.81763,91.08945
33,8977667215589572,id 12 common baron euthalia aconthea noakhali 5 dec,2024,Unknown,2024.0,euthalia,aconthea,Common Baron,Noakhali,22.81763,91.08945
34,8976371682385792,common baron euthalia aconthea id credit mh oli thanks a lot dhaka 06 12,2024,Unknown,2024.0,euthalia,aconthea,Common Baron,Dhaka,23.7104,90.40744
35,8971055122917448,common wight moulvibazar,november 2024,11,2024.0,iton,semamora,Common Wight,Maulavi Bazar,24.48888,91.77075
36,8965834930106134,white cerulean jamides pura  moulvibazar,november 2023,11,2023.0,jamides,pura,White Cerulean,Maulavi Bazar,24.48888,91.77075
37,8961338387222455,light straw ace pithauria stramineipennis  moulvibazar,february 2024,2,2024.0,pithauria,stramineipennis,Light Straw Ace,Maulavi Bazar,24.48888,91.77075
38,8960782520611375,redspot jezebel sherpur,november 2024,11,2024.0,delias,descombesi,Red-Spot Jezebel,Sherpur,24.54317,90.65773
39,8960438407312453,common mormon snpapilio polytes brahmanbaria,may2020,5,2020.0,Papilio,polytes,Common Mormon,Brahmanbaria,24.40471,89.25853
40,8938920626130898,common pirrot 20 november  chittagong,2024,Unknown,2024.0,castalius,rosimon,Common Pierrot,Chittagong,22.4875,91.96333
