Common Name,Scientific Name,Region,Image File
Common Mime,Papilio clytia (Linnaeus),Common. Widely distributed,images/image_15_0.png
Tailed Jay,Graphium agamemnon (Linnaeus),Common. Widely distributed,images/image_15_1.png
Common Jay,Graphium doson (C. & R. Felder),Common. Widely distributed,images/image_16_0.png
Spot Swordtail,Graphium nomius (Esper),"Uncommon. Southeast, Southwest and Northeast",images/image_16_1.png
Common Bluebottle,Graphium sarpedon (Linnaeus),"Uncommon. Central, Southeast and Northeast",images/image_17_0.png
Great Zebra,Graphium xenocles (Doubleday),Rare. Southeast and Northeast,images/image_17_1.png
Common Clubtail,Losaria coon (Fabricius),Very rare. Southeast,images/image_18_0.png
White Dragontail,Lamproptera curius (Fabricius),Rare. Southeast and Northeast,images/image_18_1.png
Common Rose,Pachliopta aristolochiae (Fabricius),Very Common. Widely Distributed,images/image_19_0.png
Common Raven,Papilio castor (Westwood),Rare. Southeast and Northeast,images/image_19_1.png
Common Batwing,Atrophaneura varuna (White),Rare. Southeast and Northeast,images/image_20_0.png
Yellow Helen,Papilio nephelus (Boisduval),Uncommon. Southeast and Northeast.,images/image_20_1.png
Red Helen,Papilio helenus (Linnaeus),Common. Northeast and Southeast,images/image_21_0.png
Lime Butterfly,Papilio demoleus (Linnaeus),Very Common. Widely distributed.,images/image_21_1.png
Common Moromon,Papilio polytes (Linnaeus),Very Common. Widely distributed,images/image_22_0.png
Blue Mormon,Papilio polymnestor (Cramer),Common. Widely distributed,images/image_22_1.png
Great Mormon,Papilio memnon (Linnaeus),Very Common. Northeast and Southeast,images/image_23_0.png
Common Birdwing,Troides helena (Linnaeus),"Rare. Central, Southeast and Northeast",images/image_23_1.png
Plain Puffin,Appias indra (Moore),"Uncommon.Central, Northeast and Southeast",images/image_30_0.png
Chocolate Albatross,Appias lyncida (Cramer),"Common. Central, Northeast and Southeast",images/image_30_1.png
Striped Albatross,Appias libythea (Fabricius),Common. Widely distributed,images/image_31_0.png
Indian Cabbage White,Pieris canidia (Linnaeus),Common. Widely distributed,images/image_31_1.png
Tree Yellow,Gandaca harina (Horsfield),"Very Common. Central, Northeast and Southeast",images/image_32_0.png
Common Emigrant,Catopsilia pomona (Fabricius),Very Common. Widely distributed,images/image_32_1.png
Psyche,Leptosia nina (Fabricius),Very Common. Widely distributed,images/image_33_0.png
Mottled Emigrant,Catopsilia pyranthe (Linnaeus),Common. Widely distributed,images/image_33_1.png
Common Gull,Cepora nerissa (Fabricius),Common. Widely distributed,images/image_34_0.png
Red-Spot Jezebel,Delias descombesi (Boisduval),"Common. Central, Northeast and Southeast",images/image_34_1.png
Rad-Base Jezebel,Delias pasithoe (Linnaeus),"Uncommon. Central, Northeast and Southeast",images/image_35_0.png
Common Jezebel,Delias eucharis (Drury),Very Common. Widely distributed,images/image_35_1.png
Painted Jezebel,Delias hyparete (Linnaeus),"Uncommon. Central, Northeast, Northwest and Southeast",images/image_36_0.png
One Spot Grass Yellow,Eurema andersoni (Moore),Rare. Widely distributed,images/image_36_1.png
Three Spot Grass Yellow,Eurema blanda (Boisduval),Common. Widely distributed,images/image_37_0.png
Small Grass Yellow,Eurema brigitta (Stoll),Very Rare. Central and Southwest,images/image_37_1.png
Common Grass Yellow,Eurema hecabe (Linnaeus),Very Common. Widely distributed,images/image_38_0.png
Great Orange Tip,Hebomoia glaucippe (Linnaeus),"Uncommon. Central, Northeast and Southeast",images/image_38_1.png
Common Wanderer,Pareronia valeria (Cramer),Uncommon. Widely distributed,images/image_39_0.png
Tawny Coster,Acraea violae (Fabricius),Very Common. Widely distributed,images/image_44_0.png
Angled Castor,Ariadne ariadne (Linnaeus),Common. Widely distributed,images/image_44_1.png
Common Castor,Ariadne merione (Cramer),Very Common. Widely distributed,images/image_45_0.png
Common Sergeant,Athyma perius (Linnaeus),Very Common. Widely distributed,images/image_45_1.png
Colour Sergeant,Athyma nefte (Cramer),Uncommon. Norteast and Southeast,images/image_46_0.png
Blackvein Sergeant,Athyma ranga (Moore),Uncommon. Norteast and Southeast,images/image_46_1.png
Leopard Lacewing,Cethosia cyane (Drury),Very Common. Widely distributed,images/image_47_0.png
Tawny Rajah,Charaxes bernardus (Fabricius),Common. Southeast and Northeast,images/image_47_1.png
Black Rajah,Charaxes solon (Fabricius),Uncommon. Widely distributed,images/image_48_0.png
Common Maplet,Chersonesia risa (Doubleday),Rare. Southeast and Northeast,images/image_48_1.png
Common Yemon,Cirrochroa tyche (C. & R. Felder),Common. Southeast and Northeast,images/image_49_0.png
Rustic,Cupha erymanthis (Drury),Uncommon. Southeast and Northeast,images/image_49_1.png
Common Map,Cyrestis thyodamas (Boisduval),Very Rare. Southeast and Northeast,images/image_50_0.png
Plain Tiger,Danaus chrysippus (Linnaeus),Very Common. Widely distributed,images/image_50_1.png
Striped Tiger,Danaus genutia (Cramer),Common. Widely distributed,images/image_51_0.png
Common Duffer,Discophora sondaica (Boisduval),"Rare. Central, Southeast, Southwest and Northeast",images/image_51_1.png
Common Pamfly,Elymnias hypermnestra (Linnaeus),Common. Widely distributed,images/image_52_0.png
Spotted Palmfly,Elymnias malelas (Hewitson),"Rare. Central, Southeast and Northeast",images/image_52_1.png
Tiger Palmfly,Elymnias nesaea (Linnaeus),Rare. Northeast,images/image_53_0.png
Common Crow,Euploea core (Cramer),Common. Widely distributed,images/image_53_1.png
Brown King Crow,Euploea klugii (Moore),Rare. Southeast,images/image_54_0.png
Striped Blue Crow,Euploea mulciber (Cramer),Rare. Southeast and Northeast,images/image_54_1.png
Courtesan,Euripus nyctelius (Doubleday),Very Rare. Southeast and Northeast,images/image_55_0.png
Common Baron,Euthalia aconthea (Cramer),Very Common. Widely distributed,images/image_55_1.png
Gaudy Baron,Euthalia lubentina (Cramer),"Rare. Southeast, Northeast and Central.",images/image_56_0.png
Powdered Baron,Euthalia monina (Fabricius),Rare. Southeast and Northeast,images/image_56_1.png
White-Edged Blue Baron,Euthalia phemius (Doubleday),Uncommon. Southeast and Northeast.,images/image_57_0.png
Great Eggfly,Hypolimnas bolina (Linnaeus),Common. Widely distributed,images/image_57_1.png
Peacock Pansy,Junonia almana (Linnaeus),Very Common. Widely distributed.,images/image_58_0.png
Grey Pansy,Junonia atlites (Linnaeus),Very Common. Widely distributed,images/image_58_1.png
Yellow Pansy,Junonia hierta (Fabricius),Uncommon. Widely distributed,images/image_59_0.png
Chocolate Pansy,Junonia iphita (Cramer),Common. Northeast and Southeast,images/image_59_1.png
Blue Pansy,Junonia orithya (Linnaeus),Rare. Widely distributed,images/image_60_0.png
Lemon Pansy,Junonia lemonias (Linnaeus),Common. Widely distributed,images/image_60_1.png
Knight,Lebadea martha (Fabricius),Common. Northeast and Southeast,images/image_61_0.png
Banded Treebrown,Lethe confusa (Aurivillius),Rare. Southeast,images/image_61_1.png
Bamboo Treebrown,Lethe europa (Fabricius),"Uncommon. Central, Northeast, Northwest and Southeast",images/image_62_0.png
Common Red Forester,Lethe mekara (Moore),Rare. Northeast and Southeast,images/image_62_1.png
Club Beak,Libythea myrrha (Godart),Rare. Northeast and Southeast,images/image_63_0.png
Archduke,Lexias pardalis (Moore),Uncommon. Northeast and Southeast,images/image_63_1.png
Common Evening Brown,Melanitis leda (Linnaeus),Common. Widely distributed,images/image_64_0.png
Commander,Moduza procris (Cramer),Common. Widely distributed,images/image_64_1.png
Whitebar Bushbrown,Mycalesis anaxias (Hewitson),Uncommon. Northeast and Southeast,images/image_65_0.png
Chinese Bushbrown,Mycalesis gotama (Moore),Uncommon. Northeast,images/image_65_1.png
Common Bushbrown,Mycalesis perseus (Fabricius),Common. Widely distributed,images/image_66_0.png
Dark-Brand Bushbrown,Mycalesis mineus (Linnaeus),Common. Widely distributed,images/image_66_1.png
Long-Brand Bushbrown,Mycalesis visala (Moore),Common. Widely distributed,images/image_67_0.png
Dingiest Sailer,Neptis harita (Moore),Rare. Northeast and Southeast,images/image_67_1.png
Common Sailer,Neptis hylas (Linnaeus),Common. Widely distributed,images/image_68_0.png
Clear Sailer,Neptis clinia (Moore),Uncommon. Northeast and Southeast,images/image_68_1.png
Nigger,Orsotriaena medus (Fabricius),Common. Northeast and Southeast,images/image_69_0.png
Common Lascar,Pantoporia hordonia (Stoll),Common. Northeast and Southeast,images/image_69_1.png
Perak Lascar,Pantoporia paraka (Butler),Rare. Northeast and Southeast,images/image_70_0.png
Glassy Tiger,Parantica aglea (Stoll),"Uncommon. Northwest, Central, Northeast and Southeast",images/image_70_1.png
Clipper,Parthenos sylla (Donovan),Common. Northeast and Southeast,images/image_71_0.png
Common Leopard,Phalanta phalantha (Drury),Common. Widely distributed,images/image_71_1.png
Common Nawab,Polyura athamas (Drury),"Common. Central, Northeast and Southeast",images/image_72_0.png
Jewelled Nawab,Polyura delphis (Doubleday),Rare. Northeast and Southeast,images/image_72_1.png
Black Prince,Rohana parisatis (Westwood),Uncommon. Northeast and Southeast,images/image_73_0.png
Popinjay,Stibochiona nicea (Gray),Uncommon. Northeast and Southeast,images/image_73_1.png
Common Jester,Symbrenthia lilaea (Hewitson),Uncommon. Northeast and Southeast,images/image_74_0.png
Common Earl,Tanaecia julii (Lesson),Rare. Northeast and Southeast,images/image_74_1.png
Grey Count,Cynitia lepidea (Butler),Common. Northeast and Southeast,images/image_75_0.png
Blue Tiger,Tirumala limniace (Cramer),Common. Widely distributed,images/image_75_1.png
Vagrant,Vagrans egista (Cramer),Uncommon. Northeast and Southeast,images/image_76_0.png
Cruiser,Vindula erota (Fabricius),Rare. Northeast and Southeast,images/image_76_1.png
Common Fivering,Ypthima baldus (Fabricius),Common. Widely distributed,images/image_77_0.png
Common Fourring,Ypthima huebneri (Kirby),Common. Widely distributed,images/image_77_1.png
Purple Leaf Blue,Amblypodia anita (Hewitson),Rare. Central and Southeast,images/image_86_0.png
Ciliate Blue,Anthene emolus (Godart),Very Common. Widely distributed,images/image_86_1.png
