Scientific_Name,Common_Name,Genus,Species
"Atrophaneura varuna astorion Westwood, ",Common Batwing,atrophaneura,varuna
"Chilasa clytia clytia Linné, / Papilio clytia 
Linné, ",Common Mime,chilasa,clytia
"Graphium agamemnon agamemnon Linné, 
",Tailed Jay,graphium,agamemnon
"Graphium agetes agetes Westwood, ",Fourbar Swordtail,graphium,agetes
"Graphium aristeus anticrates Doubleday, ",Chain Swordtail,graphium,aristeus
"Graphium chironides chironides Honrath, ",Veined Jay,graphium,chironides
"Graphium doson axion Felder & Felder, ",Common Jay,graphium,doson
"Graphium eurypylus cheronus Jordan, ",Great Jay,graphium,eurypylus
"Graphium sarpedon sarpedon Linné, ",Common Bluebottle,graphium,sarpedon
"Lamproptera curius curius Fabricius, ",White Dragontail,lamproptera,curius
"Losaria coon Cacharensis Fabricius, ",Common Clubtail,losaria,coon
"Pachliopta aristolochiae aristolochiae Fabricius, 
",Common Rose,pachliopta,aristolochiae
"Pachliopta hector Linné, ",Crimson Rose,pachliopta,hector
"Papilio alcmenor alcmenor C. & R. Felder, ",Red breast,papilio,alcmenor
"Papilio bianor gladiator Fruhstorfer, ",Common Peocock,papilio,bianor
"Papilio castor castor Westwood, ",Common Raven,papilio,castor
"Papilio chaon Westwood, / Papilio 
nephelus Boisduval, ",Yellow Helen,papilio,chaon
"Papilio demoleus demoleus Linné, ","Citrus Butterfly/ Lime 
Swallowtail",papilio,demoleus
"Papilio helenus helenus Linné, ",Red Helen,papilio,helenus
"Papilio elephenor Doubleday, ",Yellow-Crested Spangle,papilio,elephenor
"Papilio memnon agenor Linné, ",Great Mormon,papilio,memnon
"Papilio palinurus palinurus Fabricius, ",Banded Peocock,papilio,palinurus
"Papilio paris paris Linné, ",Paris Peocock,papilio,paris
"Papilio paradoxa teleachus Hewitson, ",Great Mime,papilio,paradoxa
"Papilio polymnestor polymnestor Cramer, ",Blue Mormon,papilio,polymnestor
"Papilio polytes romulus Cramer, ",Common Mormon,papilio,polytes
"Papilio protenor euprotenor Fruhstorfer, ",Spangle,papilio,protenor
